temp,humidity,pressure,wind speed,precipitation
40,50,30.45,6,0
49,53,30.27,7,0.0000001
62,76,29.99,14,0.03
63,66,30.06,5,0
62,68,30.1,6,0
69,69,30.08,10,0.04
64,75,30.1,5,0.0000001
62,78,30.11,5,0.0000001
70,69,30.07,8,0.0000001
72,66,30.03,6,0
71,58,30.04,5,0
71,58,30.07,6,0
69,65,30.07,4,0.14
64,79,29.9,6,0.86
56,80,29.83,5,0.06
61,82,29.96,5,0
54,64,30.18,9,0
54,46,30.15,8,0
64,47,29.93,9,0.0000001
58,55,30,6,0.0000001
66,59,29.79,11,0.01
58,71,29.87,6,0
64,75,29.78,7,0.51
62,73,29.81,9,0.01
69,53,29.85,6,0
62,74,29.79,7,0.01
53,64,29.87,12,0.69
48,56,30.16,8,0
50,52,30.23,3,0
56,48,30.19,7,0.0000001
55,37,30.03,10,0
44,41,30.05,7,0
41,59,30.21,5,0
45,59,30.23,2,0
48,59,30.18,5,0.0000001
59,76,30.03,7,1.45
72,60,29.88,15,0
61,75,29.94,12,0.38
53,71,30.29,2,0
54,66,30.17,2,0
59,64,29.98,5,0.0000001
58,70,29.81,9,0.19
47,78,29.94,6,0
48,68,29.92,8,0
48,44,29.9,8,0
50,55,29.78,6,0.0000001
60,77,29.69,7,0.15
59,68,29.78,12,0
50,43,30.13,9,0.0000001
56,71,30.02,11,0.49
57,78,30.1,8,0
69,73,29.96,7,0.29
69,90,29.96,6,0.86
78,60,29.94,11,0
74,68,29.99,10,0
72,78,29.94,7,0.09
74,74,29.91,2,0
75,72,29.94,6,0
74,77,29.82,4,0.9
65,68,29.86,5,0.0000001
58,68,29.89,6,0.02
56,64,29.98,3,0
59,64,30.13,3,0
62,65,30.19,2,0
64,69,30.1,6,0
68,65,30.03,5,0
65,57,29.98,2,0
67,60,29.96,6,0
62,51,30.07,6,0
64,63,30.04,3,0
72,61,30.06,3,0
74,67,30.06,3,0.07
67,77,30.03,5,0.03
63,69,29.96,4,0
64,65,29.87,3,0
73,61,29.82,9,0
78,70,29.97,7,0
78,67,30.07,3,0
80,66,30,5,0
80,61,29.88,6,0
70,77,29.84,4,0.14
65,62,29.87,4,0
64,67,29.78,6,0.19
56,84,29.74,7,0.01
60,69,29.87,7,0.03
67,67,29.86,4,0
62,84,29.84,2,0.13
63,66,29.9,7,0
62,63,30,5,0
65,61,30.07,3,0
68,60,30.05,2,0
70,60,29.98,2,0
73,70,29.97,6,0.0000001
75,77,29.92,5,0
72,62,29.97,5,0
68,52,30.08,5,0
68,60,30.08,4,0
70,60,30.07,2,0
77,63,30.06,6,0
80,64,29.92,9,0.02
81,64,29.89,10,0.01
81,56,30.02,8,0
79,59,30.06,7,0
79,60,29.97,7,0
74,65,29.96,4,0
71,58,29.99,3,0
75,59,29.96,1,0
79,48,29.91,9,0
70,42,29.97,7,0
72,55,29.97,5,0
85,45,29.87,9,0
89,50,29.84,6,0
85,59,29.83,4,0
84,61,29.93,6,0.1
82,67,29.98,3,0
80,62,29.94,4,0
87,58,29.91,5,0
87,57,29.93,3,0
87,62,29.95,2,0
89,55,29.94,3,0.36
83,70,29.95,3,0.27
78,69,29.99,4,0
78,58,30,5,0
79,54,30.03,5,0
80,50,30.03,5,0
76,71,30.06,5,0
77,79,30.08,4,0.16
81,70,30.08,6,0
83,67,29.99,6,0
87,69,29.9,6,0.0000001
87,61,29.91,5,0
85,68,29.89,5,0.26
76,78,29.95,7,0
73,64,30.06,4,0
78,66,30.09,3,0
83,63,30.04,8,0
88,55,29.91,7,0
88,59,29.83,7,0
86,55,29.75,9,0.0000001
82,65,29.85,6,0.31
76,65,30.03,5,0
72,65,30.04,2,0
77,66,29.94,4,0
79,70,29.9,4,0
79,60,29.89,5,0
77,51,29.85,4,0.0000001
77,77,29.88,6,0.05
84,74,29.91,9,0
77,60,30.02,7,0.0000001
75,61,30.08,2,0
77,54,29.97,2,0
80,54,29.94,6,0.06
77,67,29.84,6,0.32
70,75,29.81,6,0.01
68,64,29.96,4,0
67,59,30.01,2,0.0000001
70,71,29.93,4,0.03
69,72,29.92,4,0
71,66,29.96,2,0
72,68,29.91,8,1.85
68,66,29.94,4,0.02
65,64,29.96,2,0
67,62,29.92,3,0
67,65,29.95,3,0.01
66,67,30.04,2,0.01
69,64,30.1,2,0
70,61,30.08,2,0
74,63,30.04,3,0
76,65,30.05,3,0
76,66,30.05,5,0
77,74,30.03,6,0.53
72,66,30.05,5,0
72,65,30.03,3,0
72,62,30.04,4,0
79,79,30.08,6,0.0000001
79,81,30,8,0.02
74,91,29.82,9,2
76,87,29.84,4,0.01
79,78,29.88,1,0
74,83,29.87,3,0.92
74,81,29.92,2,0
77,73,29.84,5,1.1
64,72,29.81,6,0.17
65,70,29.98,5,0
64,67,30.16,2,0
65,68,30.19,3,0
68,70,30.2,4,0
71,69,30.22,3,0
60,74,30.25,5,0.01
60,69,30.26,2,0
64,68,30.09,2,0
63,87,29.85,3,1.13
55,65,29.8,6,0.0000001
54,62,30.1,4,0
58,75,29.98,6,0.04
58,76,29.88,4,0.63
53,66,29.92,7,0
49,70,30.23,2,0
52,60,30.18,5,0
63,72,29.97,9,0.5
65,92,30.03,7,0.71
67,82,30.1,2,0.13
62,71,30.08,2,0.01
61,71,30.05,3,0
60,64,29.89,5,0
56,78,29.76,8,0.73
57,95,29.75,7,0.19
64,75,29.99,7,0
64,72,30.14,7,0
51,79,30.09,6,1.52
44,75,30.14,4,0
43,67,30.18,3,0
43,68,30.2,2,0
48,68,30.05,5,0
44,62,30.1,7,0.0000001
45,64,30.25,4,0
50,69,30.28,4,0
59,75,30.12,9,0
63,70,29.78,17,0.03
52,64,29.91,6,0
52,70,29.88,6,0
61,63,29.63,12,0.47
55,61,29.55,12,0.39
50,70,29.62,8,0.26
47,84,29.85,6,0.01
54,70,30.03,6,0
68,57,30.02,8,0.0000001
70,55,29.99,8,0.0000001
69,57,30.01,7,0
66,66,29.93,9,0
48,82,30.14,9,0.17
44,65,30.16,11,0
43,70,30.14,10,0
45,52,30.07,13,0
42,64,29.75,10,0.02
41,62,29.81,9,0
43,47,29.89,7,0
43,62,29.99,4,0
38,84,30.12,6,0.18
38,73,30.18,4,0
37,71,30.14,2,0
38,69,30,2,0.03
40,86,29.98,2,0.05
38,81,30.2,1,0
45,72,30.14,7,0
61,53,30.1,10,0
60,54,30.05,13,0.09
43,72,30.13,8,0.77
34,64,30.48,2,0
34,71,30.46,3,0
35,73,30.37,1,0
38,67,30.44,2,0
40,61,30.48,2,0
44,60,30.4,1,0
45,61,30.28,0,0
49,68,30.11,2,0
49,74,30.2,2,0
47,70,30.13,7,0.08
41,72,30.08,11,0.16
26,72,30.23,4,0
37,62,30,7,0
36,66,30.16,5,0
32,71,30.32,4,0
34,64,30.39,1,0
36,67,30.29,6,0
48,61,30.16,9,0
55,65,30.16,7,0
60,76,30.05,11,0.16
66,79,30.06,11,0.03
51,75,30.07,8,0.09
41,73,30.3,4,0
40,71,30.07,6,0
51,93,29.88,3,0.1
49,91,29.91,4,0.0000001
52,93,29.8,7,0.33
39,87,29.81,9,0
31,69,30.12,6,0
33,68,30.34,2,0
35,60,30.34,4,0
39,57,30.21,5,0
48,71,29.88,10,0.13
46,86,29.71,8,0
40,95,29.67,5,0.18
42,76,29.78,8,0.01
39,77,29.96,8,0.06
